name,window.start,window.end,minutes,cpuCores,cpuCoreRequestAverage,cpuCoreUsageAverage,cpuCoreHours,cpuCost,cpuCostAdjustment,cpuEfficiency,gpuCount,gpuHours,gpuCost,gpuCostAdjustment,networkTransferBytes,networkReceiveBytes,networkCost,networkCostAdjustment,loadBalancerCost,loadBalancerCostAdjustment,pvBytes,pvByteHours,pvCost,pvCostAdjustment,ramBytes,ramByteRequestAverage,ramByteUsageAverage,ramByteHours,ramCost,ramCostAdjustment,ramEfficiency,sharedCost,externalCost,totalCost,totalEfficiency,rawAllocationOnly,properties.cluster,properties.container,properties.namespace,properties.pod,properties.node,properties.controller,properties.controllerKind,properties.providerID
__unmounted__,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450055696.786886,3450055696.786886,0.000176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176,0.0,,cluster-one,__unmounted__,__unmounted__,__unmounted__,,,,
app,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.000695,0.0,0.000694,0.000695,1.2e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4224557996.065574,4224557996.065574,0.000216,0.0,3128422.4,0.0,3129344.0,3128422.4,6e-06,0.0,1.0,0.0,0.0,0.000234,1.0,,cluster-one,app,default,app,ip-192-168-93-104.ec2.internal,,,i-049e2073289546110
aws-load-balancer-controller-bfbb5f4b4-sv6vd,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.000287,0.0,0.000403,0.000287,1e-06,0.0,1.0,0.0,0.0,0.0,0.0,481255.823664,1581563.873853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26446062.933333,0.0,29659136.0,26446062.933333,1.6e-05,0.0,1.0,0.0,0.0,1.8e-05,1.0,,cluster-one,aws-load-balancer-controller,kube-system,aws-load-balancer-controller-bfbb5f4b4-sv6vd,ip-192-168-31-75.ec2.internal,aws-load-balancer-controller,deployment,i-01f906f4a51f54699
aws-load-balancer-controller-bfbb5f4b4-zb7zd,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.001118,0.0,0.001267,0.001118,6e-06,0.0,1.0,0.0,0.0,0.0,0.0,2718659.862486,5074489.855825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33061273.6,0.0,34501154.133333,33061273.6,2.3e-05,0.0,1.0,0.0,0.0,3e-05,1.0,,cluster-one,aws-load-balancer-controller,kube-system,aws-load-balancer-controller-bfbb5f4b4-zb7zd,ip-192-168-98-93.ec2.internal,aws-load-balancer-controller,deployment,i-07669448a2765f8ec
aws-node-48dxg,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.025,0.025,0.002671,0.025,0.000125,0.0,0.106842,0.0,0.0,0.0,0.0,363564196.688548,358247827.683692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28968857.6,0.0,33423291.733333,28968857.6,1.8e-05,0.0,1.0,0.0,0.0,0.000143,0.219665,,cluster-one,aws-node,kube-system,aws-node-48dxg,ip-192-168-31-75.ec2.internal,aws-node,daemonset,i-01f906f4a51f54699
aws-node-bpxrs,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.025,0.025,0.002679,0.025,0.000275,0.0,0.107144,0.0,0.0,0.0,0.0,135078087.357596,133314664.543834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40354747.733333,0.0,42480025.6,40354747.733333,5.5e-05,0.0,1.0,0.0,0.0,0.000331,0.256866,,cluster-one,aws-node,kube-system,aws-node-bpxrs,ip-192-168-38-173.ec2.internal,aws-node,daemonset,i-05e2ca5c74405b126
aws-node-c4b4l,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.025,0.025,0.002764,0.025,0.000142,0.0,0.110574,0.0,0.0,0.0,0.0,38851296.115951,34510725.354207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34967654.4,0.0,37470617.6,34967654.4,2.5e-05,0.0,1.0,0.0,0.0,0.000166,0.242758,,cluster-one,aws-node,kube-system,aws-node-c4b4l,ip-192-168-98-93.ec2.internal,aws-node,daemonset,i-07669448a2765f8ec
aws-node-jh8kp,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.025,0.025,0.002791,0.025,0.000415,0.0,0.111639,0.0,0.0,0.0,0.0,251011356.954382,243406426.129316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43523447.466667,0.0,43520409.6,43523447.466667,9e-05,0.0,1.0,0.0,0.0,0.000505,0.270222,,cluster-one,aws-node,kube-system,aws-node-jh8kp,ip-192-168-93-104.ec2.internal,aws-node,daemonset,i-049e2073289546110
aws-node-wxkbr,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.025,0.025,0.002626,0.025,0.000684,0.0,0.105027,0.0,0.0,0.0,0.0,10061751.452157,8082663.309766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28178397.866667,0.0,40257399.466667,28178397.866667,9.6e-05,0.0,1.0,0.0,0.0,0.000781,0.215412,,cluster-one,aws-node,kube-system,aws-node-wxkbr,ip-192-168-68-116.ec2.internal,aws-node,daemonset,i-030361cff17caf844
aws-node-zhgvj,2022-12-01 00:00:00.000,2022-12-01 01:00:00.000,60.0,0.025,0.025,0.002774,0.025,0.000415,0.0,0.110956,0.0,0.0,0.0,0.0,67327903.932026,60816505.30032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45895338.666667,0.0,53469184.0,45895338.666667,9.5e-05,0.0,1.0,0.0,0.0,0.00051,0.276698,,cluster-one,aws-node,kube-system,aws-node-zhgvj,ip-192-168-36-153.ec2.internal,aws-node,daemonset,i-0fa94b0f04cbcc960
