name,window.start,window.end,minutes,cpuCores,cpuCoreRequestAverage,cpuCoreUsageAverage,cpuCoreHours,cpuCost,cpuCostAdjustment,cpuEfficiency,gpuCount,gpuHours,gpuCost,gpuCostAdjustment,networkTransferBytes,networkReceiveBytes,networkCost,networkCostAdjustment,loadBalancerCost,loadBalancerCostAdjustment,pvBytes,pvByteHours,pvCost,pvCostAdjustment,ramBytes,ramByteRequestAverage,ramByteUsageAverage,ramByteHours,ramCost,ramCostAdjustment,ramEfficiency,sharedCost,externalCost,totalCost,totalEfficiency,rawAllocationOnly,properties.cluster,properties.container,properties.namespace,properties.pod,properties.node,properties.controller,properties.controllerKind,properties.providerID
__unmounted__,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450055696.786886,3450055696.786886,0.000176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176,0.0,,cluster-one,__unmounted__,__unmounted__,__unmounted__,,,,
app,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.000362,0.0,0.000689,0.000362,6e-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4224557996.065574,4224557996.065574,0.000216,0.0,2458248.533333,0.0,3071249.066667,2458248.533333,5e-06,0.0,1.0,0.0,0.0,0.000227,1.0,,cluster-one,app,default,app,ip-192-168-93-104.ec2.internal,,,i-049e2073289546110
aws-load-balancer-controller-bfbb5f4b4-sv6vd,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.000415,0.0,0.000412,0.000415,2e-06,0.0,1.0,0.0,0.0,0.0,0.0,484120.774276,1609394.820415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29626368.0,0.0,29626368.0,29626368.0,1.8e-05,0.0,1.0,0.0,0.0,2.1e-05,1.0,,cluster-one,aws-load-balancer-controller,kube-system,aws-load-balancer-controller-bfbb5f4b4-sv6vd,ip-192-168-31-75.ec2.internal,aws-load-balancer-controller,deployment,i-01f906f4a51f54699
aws-load-balancer-controller-bfbb5f4b4-zb7zd,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.001249,0.0,0.001277,0.001249,7e-06,0.0,1.0,0.0,0.0,0.0,0.0,2719649.548206,5087432.653354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34573858.133333,0.0,34572014.933333,34573858.133333,2.4e-05,0.0,1.0,0.0,0.0,3.2e-05,1.0,,cluster-one,aws-load-balancer-controller,kube-system,aws-load-balancer-controller-bfbb5f4b4-zb7zd,ip-192-168-98-93.ec2.internal,aws-load-balancer-controller,deployment,i-07669448a2765f8ec
aws-node-48dxg,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.025,0.025,0.002711,0.025,0.000125,0.0,0.108459,0.0,0.0,0.0,0.0,362419644.143813,357182622.77095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33522210.133333,0.0,33522961.066667,33522210.133333,2.1e-05,0.0,1.0,0.0,0.0,0.000146,0.236241,,cluster-one,aws-node,kube-system,aws-node-48dxg,ip-192-168-31-75.ec2.internal,aws-node,daemonset,i-01f906f4a51f54699
aws-node-5kbmp,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.025,0.025,0.002712,0.025,0.000684,0.0,0.10848,0.0,0.0,0.0,0.0,10093916.196673,8122294.922931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40522035.2,0.0,40522820.266667,40522035.2,0.000138,0.0,1.0,0.0,0.0,0.000823,0.258502,,cluster-one,aws-node,kube-system,aws-node-5kbmp,ip-192-168-84-15.ec2.internal,aws-node,daemonset,i-0e6b396413e5bcd57
aws-node-bpxrs,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.025,0.025,0.002417,0.025,0.000684,0.0,0.096697,0.0,0.0,0.0,0.0,135430753.781768,133666051.18383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41668027.733333,0.0,41665536.0,41668027.733333,0.000142,0.0,1.0,0.0,0.0,0.000827,0.25226,,cluster-one,aws-node,kube-system,aws-node-bpxrs,ip-192-168-38-173.ec2.internal,aws-node,daemonset,i-05e2ca5c74405b126
aws-node-c4b4l,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.025,0.025,0.002747,0.025,0.000142,0.0,0.109892,0.0,0.0,0.0,0.0,37954965.540674,33655718.446084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37510929.066667,0.0,37510280.533333,37510929.066667,2.7e-05,0.0,1.0,0.0,0.0,0.000168,0.250281,,cluster-one,aws-node,kube-system,aws-node-c4b4l,ip-192-168-98-93.ec2.internal,aws-node,daemonset,i-07669448a2765f8ec
aws-node-jh8kp,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.025,0.025,0.002779,0.025,0.000415,0.0,0.111158,0.0,0.0,0.0,0.0,250161649.237671,242654773.946897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36335684.266667,0.0,43595502.933333,36335684.266667,7.5e-05,0.0,1.0,0.0,0.0,0.00049,0.247648,,cluster-one,aws-node,kube-system,aws-node-jh8kp,ip-192-168-93-104.ec2.internal,aws-node,daemonset,i-049e2073289546110
aws-node-zhgvj,2022-11-30 00:00:00.000,2022-11-30 01:00:00.000,60.0,0.025,0.025,0.002818,0.025,0.000415,0.0,0.112718,0.0,0.0,0.0,0.0,63895858.721959,57469221.678289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53556428.8,0.0,53555063.466667,53556428.8,0.000111,0.0,1.0,0.0,0.0,0.000526,0.299918,,cluster-one,aws-node,kube-system,aws-node-zhgvj,ip-192-168-36-153.ec2.internal,aws-node,daemonset,i-0fa94b0f04cbcc960
