name,window.start,window.end,minutes,cpuCores,cpuCoreRequestAverage,cpuCoreUsageAverage,cpuCoreHours,cpuCost,cpuCostAdjustment,cpuEfficiency,gpuCount,gpuHours,gpuCost,gpuCostAdjustment,networkTransferBytes,networkReceiveBytes,networkCost,networkCostAdjustment,loadBalancerCost,loadBalancerCostAdjustment,pvBytes,pvByteHours,pvCost,pvCostAdjustment,ramBytes,ramByteRequestAverage,ramByteUsageAverage,ramByteHours,ramCost,ramCostAdjustment,ramEfficiency,sharedCost,externalCost,totalCost,totalEfficiency,rawAllocationOnly,properties.cluster,properties.container,properties.namespace,properties.pod,properties.node,properties.controller,properties.controllerKind,properties.providerID
__unmounted__,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3450055696.786886,3450055696.786886,0.000176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000176,0.0,,cluster-one,__unmounted__,__unmounted__,__unmounted__,,,,
app,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.000686,0.0,0.00069,0.000686,1.1e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4224557996.065574,4224557996.065574,0.000216,0.0,3153749.333333,0.0,3152008.533333,3153749.333333,7e-06,0.0,1.0,0.0,0.0,0.000234,1.0,,cluster-one,app,default,app,ip-192-168-93-104.ec2.internal,,,i-049e2073289546110
aws-load-balancer-controller-bfbb5f4b4-sv6vd,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.000407,0.0,0.000406,0.000407,2e-06,0.0,1.0,0.0,0.0,0.0,0.0,480344.284591,1586627.314139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29872128.0,0.0,29872128.0,29872128.0,1.9e-05,0.0,1.0,0.0,0.0,2.1e-05,1.0,,cluster-one,aws-load-balancer-controller,kube-system,aws-load-balancer-controller-bfbb5f4b4-sv6vd,ip-192-168-31-75.ec2.internal,aws-load-balancer-controller,deployment,i-01f906f4a51f54699
aws-load-balancer-controller-bfbb5f4b4-zb7zd,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.001264,0.0,0.001268,0.001264,7e-06,0.0,1.0,0.0,0.0,0.0,0.0,2723235.31432,5110307.896216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34513715.2,0.0,34516172.8,34513715.2,2.4e-05,0.0,1.0,0.0,0.0,3.2e-05,1.0,,cluster-one,aws-load-balancer-controller,kube-system,aws-load-balancer-controller-bfbb5f4b4-zb7zd,ip-192-168-98-93.ec2.internal,aws-load-balancer-controller,deployment,i-07669448a2765f8ec
aws-node-48dxg,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.025,0.025,0.002657,0.025,0.000125,0.0,0.106293,0.0,0.0,0.0,0.0,363497866.931007,358202068.146913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33445922.133333,0.0,33450393.6,33445922.133333,2.1e-05,0.0,1.0,0.0,0.0,0.000145,0.234137,,cluster-one,aws-node,kube-system,aws-node-48dxg,ip-192-168-31-75.ec2.internal,aws-node,daemonset,i-01f906f4a51f54699
aws-node-c4b4l,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.025,0.025,0.00276,0.025,0.000142,0.0,0.110383,0.0,0.0,0.0,0.0,39173546.502031,34867069.9227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37405866.666667,0.0,37400234.666667,37405866.666667,2.6e-05,0.0,1.0,0.0,0.0,0.000168,0.250364,,cluster-one,aws-node,kube-system,aws-node-c4b4l,ip-192-168-98-93.ec2.internal,aws-node,daemonset,i-07669448a2765f8ec
aws-node-jh8kp,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.025,0.025,0.002765,0.025,0.000415,0.0,0.110597,0.0,0.0,0.0,0.0,250969765.039226,243416843.255484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43658308.266667,0.0,43660288.0,43658308.266667,9e-05,0.0,1.0,0.0,0.0,0.000505,0.26977,,cluster-one,aws-node,kube-system,aws-node-jh8kp,ip-192-168-93-104.ec2.internal,aws-node,daemonset,i-049e2073289546110
aws-node-tk87w,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.025,0.025,0.002773,0.025,0.000684,0.0,0.110904,0.0,0.0,0.0,0.0,135277150.915948,133570806.821886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40771072.0,0.0,40782028.8,40771072.0,0.000139,0.0,1.0,0.0,0.0,0.000824,0.261282,,cluster-one,aws-node,kube-system,aws-node-tk87w,ip-192-168-19-143.ec2.internal,aws-node,daemonset,i-06646d0cbbbc345e8
aws-node-vdhkx,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.025,0.025,0.002723,0.025,0.000684,0.0,0.108913,0.0,0.0,0.0,0.0,9917698.109989,8187308.564958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39481617.066667,0.0,39490150.4,39481617.066667,0.000135,0.0,1.0,0.0,0.0,0.000819,0.255646,,cluster-one,aws-node,kube-system,aws-node-vdhkx,ip-192-168-224-223.ec2.internal,aws-node,daemonset,i-0dd2708e1b331ea0b
aws-node-zhgvj,2022-12-02 00:00:00.000,2022-12-02 01:00:00.000,60.0,0.025,0.025,0.002802,0.025,0.000415,0.0,0.112064,0.0,0.0,0.0,0.0,64876223.900353,58382833.697642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53619677.866667,0.0,53622169.6,53619677.866667,0.000111,0.0,1.0,0.0,0.0,0.000526,0.299576,,cluster-one,aws-node,kube-system,aws-node-zhgvj,ip-192-168-36-153.ec2.internal,aws-node,daemonset,i-0fa94b0f04cbcc960
